"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"Q5,Q3,Q4";"TO-220-3_Vertical";3;"IRFZ44n";;;
2;"R9,R12,R8,R3,R5";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";5;"1k";;;
3;"R2,R1,R6";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";3;"5k";;;
4;"U1";"TO-220-3_Vertical";1;"AMS1117-3.3";;;
5;"LED_Strip2,LED_Strip3,LED_Strip1";"TerminalBlock_bornier-2_P5.08mm";3;"TerminalBlock";;;
6;"C3,C2";"CP_Radial_D4.0mm_P2.00mm";2;"0.1uf";;;
7;"U6,U5,U4";"DIP-4_W7.62mm";3;"PC817";;;
8;"R7,R4";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"2k";;;
9;"C1";"CP_Radial_D8.0mm_P3.80mm";1;"330uF";;;
10;"WaterChannel2,WaterChannel1";"JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical";2;"Relay_3Ch";;;
11;"U2";"nRF24L01_Breakout";1;"NRF24L01_Breakout";;;
12;"H1,H2";"MountingHole_3.2mm_M3_DIN965_Pad_TopBottom";2;"MountingHole";;;
13;"Q2,Q1";"TO-92_Inline_Wide";2;"S8050";;;
14;"Pico_W1,Pico_W2";"PinSocket_1x20_P2.54mm_Vertical";2;"Conn_01x20";;;
15;"R10,R11,R13";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";3;"220";;;
16;"UART1,Power12V1";"JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical";2;"Conn_01x02";;;
17;"U3";"TO-220-3_Vertical";1;"LM7805_TO220";;;
18;"CAN_line1";"TerminalBlock_bornier-2_P5.08mm";1;"TerminaBlock";;;
19;"Button1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical";1;"DIP";;;
20;"MCP2551";"PinSocket_1x06_P2.54mm_Vertical";1;"CAN_Transceiver";;;
